English	48015
nan	6453
French	1178
Japanese	466
Italian	331
Dutch	296
German	275
Spanish	247
Swedish	234
Danish	231
Mandarin	136
Cantonese	132
Portuguese	109
Korean	103
Russian	82
Norwegian	82
Turkish	49
Thai	40
Hindi	37
Flemish	36
Arabic	33
Finnish	32
Hebrew	24
Polish	20
Catalan	16
Welsh	16
Persian	15
Hungarian	14
Icelandic	14
Serbian	13
Czech	10
Brazilian Sign Language	10
Vietnamese	9
None	9
Filipino	8
Romanian	8
Aboriginal	7
Greek	7
Latin	6
Indonesian	6
Georgian	5
Serbo-Croatian	5
Bosnian	4
Kurdish	4
Chinese	4
Mongolian	3
Tagalog	3
American Sign Language	3
Swiss German	3
Punjabi	3
Romany	3
Albanian	2
Maya	2
Dari	2
Tibetan	2
Lithuanian	2
Sicilian	2
Pushto	2
Estonian	2
Slovenian	1
Min Nan	1
Tswana	1
Neapolitan	1
Kazakh	1
Bengali	1
Dzongkha	1
Urdu	1
Kru	1
Frisian	1
Hawaiian	1
Luxembourgish	1
Sindarin	1
Malay	1
Slovak	1
Maori	1
Belarusian	1
Croatian	1
Bulgarian	1
Saami	1
Ukrainian	1
Cree	1
Basque	1
Afrikaans	1
Tajik	1
Hopi	1
Haitian	1
Zulu	1
Telugu	1
North American Indian	1
Wolof	1
Scanian	1
Low German	1
Xhosa	1
Aramaic	1
Tamil	1
