imdb key	countries	country codes	genres	kind	language codes	languages	rating	runtimes	title	votes	year
0045883	United States	us	Drama,Romance,War,Western	movie	en,ath	English,Athapascan languages	7.1	83	Hondo	8613	1953
0050468	United States	us	Biography,Drama,Western	movie	en	English	7.2	122	Gunfight at the O.K. Corral	12776	1957
0058450	France,West Germany	fr,xwg	Drama,Musical,Romance	movie	fr,en	French,English	7.8	91	The Umbrellas of Cherbourg	21158	1964
0061852	United States	us	Animation,Adventure,Family,Musical	movie	en	English	7.6	78	The Jungle Book	154657	1967
0065462	United States	us	Action,Adventure,Sci-Fi	movie	en	English	6.1	95	Beneath the Planet of the Apes	39583	1970
0068408	United States	us	Action,Sci-Fi	movie	en	English	6.1	88	Conquest of the Planet of the Apes	28485	1972
0069768	United States	us	Action,Sci-Fi	movie	en	English	5.5	93	Battle for the Planet of the Apes	27365	1973
0079844	United States	us	Horror	tv series	en	English	6.8	200	Salem's Lot	19083	1979
0087805	United States	us	Action,Fantasy,Thriller	movie	en	English	5.4	92	Ninja III: The Domination	3469	1984
0088338	Yugoslavia	xyu	Comedy,Drama,Romance	movie	qbo	Serbo-Croatian	8.6	91	The Elusive Summer of '68	4294	1984
0093389	United Kingdom,Italy,China,France	gb,it,cn,fr	Biography,Drama,History	movie	en,cmn,ja	English,Mandarin,Japanese	7.7	163	The Last Emperor	86793	1987
0096966	Yugoslavia	xyu	Drama,History,War	movie	qbo,sr	Serbo-Croatian,Serbian	7.6	117	The Battle of Kosovo	2213	1989
0097027	United States	us	Crime,Drama,War	movie	en,vi	English,Vietnamese	7.1	113	Casualties of War	38771	1989
0098180	South Africa,United States,Namibia	za,us,na	Action,Adventure	movie	en,ru	English,Russian	5.2	105	Red Scorpion	7849	1988
0099653	United States	us	Drama,Fantasy,Romance,Thriller	movie	en	English	7.0	127	Ghost	183427	1990
0106664	United States	us	Horror,Mystery,Thriller	movie	en	English	6.0	122	The Dark Half	14847	1993
0108258	United States	us	Action,Adventure,Comedy,Family,Sport	movie	en	English	5.1	87	Surf Ninjas	7292	1993
0110357	United States	us	Animation,Adventure,Drama,Family,Musical	movie	en,sw,xh,zu	English,Swahili,Xhosa,Zulu	8.5	88	The Lion King	871244	1994
0110857	United States	us	Comedy,Crime	movie	en	English	3.6	83	Police Academy: Mission to Moscow	29954	1994
0119874	United States	us	Action,Thriller	movie	en,ru,sr,bs,hr,pl	English,Russian,Serbian,Bosnian,Croatian,Polish	5.9	124	The Peacemaker	51785	1997
0126029	United States	us	Animation,Adventure,Comedy,Family,Fantasy	movie	en	English	7.8	90	Shrek	576061	2001
0144814	United States	us	Horror,Sci-Fi,Thriller	movie	en	English	4.7	104	The Rage: Carrie 2	14836	1999
0167261	New Zealand,United States	nz,us	Adventure,Drama,Fantasy	movie	en,sjn,ang	English,Sindarin,Old English	8.7	179	The Lord of the Rings: The Two Towers	1386539	2002
0181316	Germany,United States	de,us	Action,Comedy,Crime,Thriller	movie	en,es	English,Spanish	6.3	93	Blue Streak	70277	1999
0212346	United States	us	Action,Comedy,Crime,Romance	movie	en,ru,fr,haw,es	English,Russian,French,Hawaiian,Spanish	6.2	109	Miss Congeniality	174008	2000
0215750	Ireland,United Kingdom,France,Germany,United States	ie,gb,fr,de,us	Drama,History,War	movie	en,de,ru	English,German,Russian	7.6	131	Enemy at the Gates	228769	2001
0244647	Italy,Germany	it,de	Drama,History	tv movie	en	English	6.2	98	Mary Magdalene	191	2000
0277434	United States,Germany	us,de	Action,Drama,History,War	movie	en,vi,fr	English,Vietnamese,French	7.1	138	We Were Soldiers	123307	2002
0289408	United States	us	Animation,Action,Adventure,Comedy,Family,Sci-Fi	movie	en	English	6.5	73	The Powerpuff Girls Movie	8871	2002
0293662	France,United States	fr,us	Action,Crime,Thriller	movie	en,fr,cmn	English,French,Mandarin	6.8	92	The Transporter	273446	2002
0304141	United Kingdom,United States	gb,us	Adventure,Family,Fantasy,Mystery	movie	en	English	7.9	142	Harry Potter and the Prisoner of Azkaban	502743	2004
0332280	United States	us	Drama,Romance	movie	en	English	7.8	123	The Notebook	486019	2004
0348836	United States,France,Canada,Spain	us,fr,ca,es	Horror,Mystery,Thriller	movie	en	English	5.8	98	Gothika	102068	2003
0351283	United States	us	Animation,Adventure,Comedy,Family	movie	en,pt,es,de,fr,el	English,Portuguese,Spanish,German,French,Greek	6.9	86	Madagascar	341326	2005
0381061	United Kingdom,Czech Republic,United States,Germany,Bahamas	gb,cz,us,de,bs	Action,Adventure,Thriller	movie	sr,de,it,en,fr	Serbian,German,Italian,English,French	8.0	144	Casino Royale	547634	2006
0398286	United States	us	Animation,Adventure,Comedy,Family,Fantasy,Musical,Romance	movie	en	English	7.7	100	Tangled	375791	2010
0417741	United Kingdom,United States	gb,us	Action,Adventure,Family,Fantasy,Mystery	movie	en	English	7.6	153	Harry Potter and the Half-Blood Prince	430435	2009
0427152	United States	us	Comedy	movie	en	English	5.9	114	Dinner for Schmucks	93166	2010
0429493	United States,United Kingdom	us,gb	Action,Adventure,Thriller	movie	en,es,fr,sw,de	English,Spanish,French,Swahili,German	6.7	117	The A-Team	238184	2010
0432021	France,Australia,Germany,United Kingdom,United States,Mexico,Canada	fr,au,de,gb,us,mx,ca	Action,Horror,Sci-Fi,Thriller	movie	en	English	6.3	94	Resident Evil: Extinction	175773	2007
0433035	United States,India	us,in	Action,Drama,Family,Sci-Fi,Sport	movie	en,uk	English,Ukrainian	7.1	127	Real Steel	286459	2011
0443649	United States,South Africa	us,za	Action,Adventure,Drama,Fantasy,History	movie	en	English	5.1	109	10,000 BC	121351	2008
0443676	United States	us	Action,Crime,Drama,Sport	video movie	en,ru	English,Russian	7.1	98	Undisputed 2: Last Man Standing	31703	2006
0450385	United States	us	Fantasy,Horror,Mystery	movie	en	English	6.8	104	1408	245308	2007
0452608	United States,Germany,United Kingdom	us,de,gb	Action,Sci-Fi,Thriller	movie	en	English	6.4	105	Death Race	190196	2008
0454824	United Kingdom,United States	gb,us	Action,Drama,History,Romance,War	movie	en,fr	English,French	6.5	140	Flyboys	39895	2006
0455824	United Kingdom,Australia,United States	gb,au,us	Adventure,Comedy,Drama,Romance,War,Western	movie	en,qac,zh,ja	English,Aboriginal,Chinese,Japanese	6.6	165	Australia	115164	2008
0458339	United States	us	Action,Adventure,Sci-Fi	movie	en,no,fr	English,Norwegian,French	6.9	124	Captain America: The First Avenger	688600	2011
0458525	United States,United Kingdom	us,gb	Action,Adventure,Sci-Fi	movie	en	English	6.6	107	X-Men Origins: Wolverine	445883	2009
0460780	Germany,Canada,United States	de,ca,us	Action,Adventure,Fantasy,Horror,Thriller,War	movie	en	English	3.8	127	In the Name of the King: A Dungeon Siege Tale	42841	2007
0465676	China	cn	Action,Drama,Fantasy,Romance	movie	cmn	Mandarin	6.4	131	The Banquet	6406	2006
0473075	United States	us	Action,Fantasy	movie	en	English	6.6	116	Prince of Persia: The Sands of Time	259527	2010
0473188	United States,Germany	us,de	Action,Crime,Thriller	movie	en	English	5.9	97	Bobby Z	13620	2007
0475067	Australia	au	Crime,Drama,Mystery	tv movie	en	English	6.8		BlackJack: At the Gates	49	2006
0476695	Russia	ru	Action,Adventure,History,War	movie	ru,fr,sv,pl	Russian,French,Swedish,Polish	5.9	131	The Sovereign's Servant	1304	2007
0479997	United States	us	Action,Adventure,Fantasy	movie	en,la	English,Latin	5.4	95	Season of the Witch	86966	2011
0482088	France	fr	Comedy,Romance	movie	fr,en	French,English	7.0	106	Priceless	29469	2006
0493464	United States,Germany	us,de	Action,Crime,Fantasy,Thriller	movie	en	English	6.7	110	Wanted	345743	2008
0505805	United States	us	Action,Adventure,Comedy,Sci-Fi,Western	episode	en	English	7.7	45	Mail Order Brides	85	1993
0505815	United States	us	Action,Adventure,Comedy,Sci-Fi,Western	episode	en,de	English,German	7.7	45	Steel Horses	86	1993
0534793	United States	us	Action,Crime,Drama,Mystery,Thriller	episode	en	English	6.8	60	Double Cap	253	2003
0534805			Action,Crime,Drama,Mystery,Thriller	episode			7.0	45	Grave Young Men	270	2003
0534841	United States	us	Action,Crime,Drama,Mystery,Thriller	episode	en	English	7.2	44	Spring Break	288	2003
0583522	United States	us	Comedy,Romance	episode	en	English	8.4	22	The One with Joey's Award	2606	2001
0608711	United Kingdom	gb	Crime,Drama,Mystery	episode	en	English	8.2	60	Gold Mine	161	2005
0608712	United Kingdom	gb	Crime,Drama,Mystery	episode	en	English	7.9	60	Confessions	131	2005
0608713	United Kingdom	gb	Crime,Drama,Mystery	episode	en	English	8.8	60	The Lesson	162	2005
0608714	United Kingdom	gb	Crime,Drama,Mystery	episode	en	English	8.4	60	Missions	145	2005
0608716			Crime,Drama,Mystery	episode			8.6	60	Eye of the Beholder	159	2005
0613333	United States	us	Action,Crime,Drama,Mystery,Thriller	episode	en	English	7.4	60	Promises	76	2000
0762107	United States	us	Comedy,Romance	movie	en	English	5.9	115	I Now Pronounce You Chuck & Larry	134997	2007
0784434	United States	us	Crime,Drama	episode	en	English	8.0	41	Chaos Theory	84	2006
0784584			Comedy,Romance	episode	en	English	7.8	22	I Called Him Magoo	769	2010
0814255	United Kingdom,Canada,United States	gb,ca,us	Adventure,Family,Fantasy	movie	en,grc	English,Greek, Ancient (to 1453)	5.9	118	Percy Jackson & the Olympians: The Lightning Thief	167921	2010
0832318	United States	us	Drama	movie	en	English	5.4	115	What Goes Up	1769	2009
0840616	United States	us	Adventure,Drama,Fantasy,Mystery,Sci-Fi,Thriller	episode	en	English	8.1	42	Further Instructions	3648	2006
0876831	United States	us	Action,Crime,Drama,Mystery,Thriller	episode	en	English	8.5	44	Rendezvous	2351	2006
0892769	United States	us	Animation,Action,Adventure,Family,Fantasy	movie	en	English	8.1	98	How to Train Your Dragon	625257	2010
0900620	United States,Germany	us,de	Crime,Drama	episode	en	English	7.6	41	The Chicken Is Making My Back Hurt	80	2007
0905574	Turkey	tr	Drama,Family	tv series	tr	Turkish	5.2		1001 Nights	2784	2006
0913743	United States	us	Adventure,Drama,Fantasy,Mystery,Sci-Fi,Thriller	episode	en,ko	English,Korean	8.3	43	Tricia Tanaka Is Dead	3934	2007
0926084	United Kingdom,United States	gb,us	Adventure,Family,Fantasy,Mystery	movie	en	English	7.7	146	Harry Potter and the Deathly Hallows: Part 1	437278	2010
0933553	United States	us	Drama,Romance,Sport	episode	en	English	8.8	42	Sad Songs for Dirty Lovers	236	2007
0946362	United States	us	Crime,Drama	episode	en	English	7.7	42	Junk in the Trunk	95	2007
0954434	United States	us	Crime,Drama	episode	en	English	8.4	41	Heroes	130	2007
0954439	United States	us	Adventure,Drama,Fantasy,Mystery,Sci-Fi,Thriller	episode	en	English	7.3	43	Stranger in a Strange Land	3859	2007
0960731	United States	us	Comedy,Family,Fantasy,Romance	movie	en	English	6.0	99	Bedtime Stories	83837	2008
0963966	United States	us	Action,Adventure,Family,Fantasy	movie	en,yue,uk	English,Cantonese,Ukrainian	6.1	109	The Sorcerer's Apprentice	146051	2010
0970866	United States	us	Comedy,Romance	movie	en,uk	English,Ukrainian	5.5	98	Little Fockers	100983	2010
0979594	United States	us	Adventure,Drama,Fantasy,Mystery,Sci-Fi,Thriller	episode	en	English	8.5	42	Catch-22	3611	2007
0985699	United States,Germany	us,de	Drama,History,Thriller,War	movie	en,de	English,German	7.1	121	Valkyrie	217224	2008
0988307	United States	us	Drama,Fantasy,Sci-Fi,Thriller	episode	en,ja	English,Japanese	8.5	45	Chapter Twenty-Three 'How to Stop an Exploding Man'	2386	2007
0988308	United States	us	Drama,Fantasy,Sci-Fi,Thriller	episode	en,ja	English,Japanese	8.6	43	Chapter Twenty-Two 'Landslide'	1585	2007
0994348	United States	us	Adventure,Drama,Fantasy,Mystery,Sci-Fi,Thriller	episode	en	English	8.8	43	The Beginning of the End	4990	2008
0994350	United States	us	Adventure,Drama,Fantasy,Mystery,Sci-Fi,Thriller	episode	en	English	8.7	44	Cabin Fever	3590	2008
0994363	United States	us	Adventure,Drama,Fantasy,Mystery,Sci-Fi,Thriller	episode	en,de	English,German	8.5	43	The Economist	3765	2008
0994364	United States	us	Adventure,Drama,Fantasy,Mystery,Sci-Fi,Thriller	episode	en,ko	English,Korean	8.1	43	Eggtown	3649	2008
0995857	South Africa	za	Comedy	movie	en,af	English,Afrikaans	4.5	101	Mr. Bones 2: Back from the Past	668	2008
1000400	United States	us	Drama,Fantasy,Sci-Fi,Thriller	episode	en,ja	English,Japanese	8.3	43	Chapter Twenty-One 'The Hard Part'	1578	2007
1000774	United States	us	Comedy,Drama,Romance	movie	en	English	5.6	145	Sex and the City	111810	2008
1007416	United States	us	Crime,Drama	episode	en	English	7.3	42	When Life Gives You Lemon Bars	80	2007
1007422	United States	us	Crime,Drama	episode	en	English	7.3	41	Three Weddings and a Funeral: Part 1	82	2008
1007433	United States	us	Crime,Drama	episode	en	English	7.5	41	The High Price of Gas	71	2007
1013752	United States,Japan	us,jp	Action,Adventure,Thriller	movie	en,es	English,Spanish	6.6	107	Fast & Furious	247779	2009
1028532	United Kingdom,United States	gb,us	Drama,Family	movie	en,ja	English,Japanese	8.1	93	Hachi: A Dog's Tale	230414	2009
1041829	United States	us	Comedy,Drama,Romance	movie	en	English	6.7	108	The Proposal	278037	2009
1045658	United States	us	Comedy,Drama,Romance	movie	en	English	7.7	122	Silver Linings Playbook	630077	2012
1049413	United States	us	Animation,Adventure,Comedy,Family	movie	en	English	8.2	96	Up	869123	2009
1054725	United States	us	Crime,Drama,Thriller	episode	en	English	8.8	48	...And the Bag's in the River	14899	2008
1073510	United States	us	Biography,Drama,Romance	tv movie	en	English	8.1	90	Prayers for Bobby	14593	2009
1078940	United States	us	Comedy	movie	en,uk	English,Ukrainian	5.5	113	Couples Retreat	97237	2009
1103153	United States	us	Action,Comedy,Romance,Thriller	movie	en	English	5.4	100	Killers	83469	2010
1112784	United States	us	Crime	tv movie	en	English	4.2	93	Finish Line	697	2008
1121525	United States	us	Crime,Drama	episode	en	English	7.2	42	I Could Eat a Horse	79	2008
1126618	United States	us	Comedy,Drama,Romance	movie	en,uk	English,Ukrainian	6.5	107	Morning Glory	68968	2010
1133985	United States	us	Action,Adventure,Sci-Fi	movie	en	English	5.5	114	Green Lantern	256378	2011
1143143	United States	us	Documentary,Comedy	movie	en	English	8.0	80	Jeff Dunham: Spark of Insanity	3901	2007
1170358	United States,New Zealand	us,nz	Adventure,Fantasy	movie	en	English	7.8	161	The Hobbit: The Desolation of Smaug	573946	2013
1189073	Spain,United States	es,us	Drama,Horror,Thriller	movie	es	Spanish	7.6	120	The Skin I Live In	126855	2011
