imdb key	countries	country codes	genres	kind	language codes	languages	rating	runtimes	title	votes	year
0013427	United States,France	us,fr	Documentary	movie			7.6	78	Nanook of the North	9907	1922
0063518	United Kingdom,Italy	gb,it	Drama,Romance	movie	en,fr	English,French	7.6	138	Romeo and Juliet	27791	1968
0067372	United Kingdom,United States	gb,us	Biography,Drama,History	movie	en	English	7.4	140	Macbeth	11760	1971
0119448	Netherlands,Belgium	nl,be	Crime,Drama,Mystery	movie	nl,en,de,fr	Dutch,English,German,French	7.7	122	Character	10044	1997
0420931	United States	us	Drama,Short	movie	en	English	6.9	15	Starcrossed	2202	2005
1655442	France,Belgium,United States	fr,be,us	Comedy,Drama,Romance	movie	en,fr	English,French	7.9	100	The Artist	219768	2011
1863192	Georgia,Germany,France,Czech Republic,Kazakhstan,Hungary	ge,de,fr,cz,kz,hu	Drama,War	movie	ka,ab,ru	Georgian,Abkhazian,Russian	7.6	100	Corn Island	3669	2014
1869363	United Kingdom	gb	Short,Drama,Romance	movie	en	English	5.8	17	Dear Friend	233	2011
2128693	Switzerland,Germany	ch,de	Short,Drama,Romance	movie	de,fr	German,French	7.3	23	Prora	896	2012
