imdb key	countries	country codes	genres	kind	language codes	languages	rating	runtimes	title	votes	year
0000832	United States	us	Short,Crime,Drama	movie	en	English	6.6	14	A Corner in Wheat	1976	1909
0010323	Germany	de	Fantasy,Horror,Mystery,Thriller	movie	de	German	8.1	76	The Cabinet of Dr. Caligari	51551	1920
0010930	United States	us	Comedy,Short	movie	en	English	6.4	10	Young Mr. Jazz	336	1919
0011833	Germany	de	Drama,Thriller	movie	de	German	6.9	65	From Morn to Midnight	382	1920
0012364	Sweden	se	Drama,Fantasy,Horror	movie	sv	Swedish	8.1	100	The Phantom Carriage	9304	1921
0012650	Germany	de	Drama	movie	de	German	6.4	50	Scherben	199	1921
0012651	Germany	de	Crime,Drama,Horror,Mystery	movie	de	German	6.3	75	The Haunted Castle	1270	1921
0013373	Germany	de	Drama	movie	de	German	6.7	50	Marizza	49	1922
0013442	Germany	de	Fantasy,Horror	movie	de	German	7.9	94	Nosferatu	82786	1922
0014516	Germany	de	Drama	movie	de	German	7.0	74	The Street	324	1923
0014972	United States	us	Drama,Romance,Thriller	movie	en	English	7.9	95	He Who Gets Slapped	2766	1924
0015039	Soviet Union	suhh	Documentary	movie			7.2	78	Kino Eye	800	1924
0017271	Soviet Union	suhh	Drama	movie	ru	Russian	7.7	80	By the Law	849	1926
0017376	Soviet Union	suhh	Documentary	movie			7.3	68	The Sixth Part of the World	396	1926
0017809	Soviet Union	suhh	Comedy,Drama,Romance	movie			7.2	60	Moscow That Weeps and Laughs	556	1927
0017961	Soviet Union	suhh	Comedy,Drama	movie			7.5	95	Happiness	868	1935
0018246	Soviet Union	suhh	Documentary,History	movie			6.6	90	The Fall of the Romanov Dynasty	254	1927
0018455	United States	us	Drama,Romance	movie	en	English	8.1	94	Sunrise	44264	1927
0018770	France	fr	Horror	movie	fr	French	7.3	63	The Fall of the House of Usher	3123	1928
0018873	United States	us	Short,Horror	movie			6.9	13	The Fall of the House of Usher	1118	1928
0019109	United States	us	Comedy,Drama,Romance	movie	en	English	7.8	69	Lonesome	1887	1928
0019649	Soviet Union	suhh	Drama,War	movie	ru,uk	Russian,Ukrainian	7.2	90	Arsenal	1584	1929
0019838	United Kingdom	gb	Documentary	movie			6.6	49	Drifters	296	1929
0021375	Soviet Union	suhh	Documentary	movie			7.0	67	Enthusiasm	667	1931
0021571	Soviet Union	suhh	Drama	movie			7.3	75	Earth	4413	1930
0021818	Germany	de	Comedy,Drama,Musical	movie	de	German	7.4	112	The 3 Penny Opera	1834	1931
0022183	Germany	de	Drama,Romance	movie	de	German	7.6	88	Mädchen in Uniform	2186	1931
0022458	United States	us	Drama,Romance,Adventure	movie	en	English	7.5	86	Tabu: A Story of the South Seas	4523	1931
0022718	France	fr	Comedy	movie	fr	French	7.4	85	Boudu Saved from Drowning	4800	1932
0022725	United States	us	Drama	movie	en	English	7.6	76	Broken Lullaby	772	1932
0023042	United States	us	Crime,Drama,Film-Noir	movie	en	English	8.2	92	I Am a Fugitive from a Chain Gang	10785	1932
0023104	Germany	de	Drama	movie	de	German	6.6	71	Kuhle Wampe or Who Owns the World?	592	1932
0023828	Belgium	be	Documentary,Short	movie	qbn,fr	Flemish,French	7.5	36	Misère au Borinage	333	1934
0024676	Japan	jp	Drama	movie			7.1	47	Woman of Tokyo	714	1933
0025610	United States	us	Drama,Romance	movie	en	English	7.0	80	Our Daily Bread	1264	1934
0025911	Soviet Union	suhh	Documentary	movie	ru	Russian	6.5	61	Three Songs About Lenin	605	1934
0027652	United States	us	Crime,Drama,Film-Noir,Thriller	movie	en	English	7.9	92	Fury	10437	1936
0028464	France	fr	Drama,History	movie	fr	French	6.0	66	La vie est à nous	209	1936
0028818	United Kingdom	gb	Drama,History,Romance	movie	en	English	7.3	81	The Edge of the World	1515	1937
0031762	United States	us	Adventure,Drama,Romance	movie	en,es	English,Spanish	7.7	121	Only Angels Have Wings	11333	1939
0031885	France	fr	Comedy,Drama	movie	fr,de,en	French,German,English	8.1	110	The Rules of the Game	24754	1939
0031968	United Kingdom	gb	Thriller,War	movie	en,de	English,German	6.9	82	The Spy in Black	1788	1939
0032156	Japan	jp	Drama,Romance	movie	ja	Japanese	7.9	143	The Story of the Last Chrysanthemum	2840	1939
0035112	United States	us	Documentary,Drama,History	movie	en	English	6.4	80	Native Land	286	1942
0036244	United States	us	Drama,Western	movie	en,es	English,Spanish	8.0	75	The Ox-Bow Incident	19451	1942
0038107	United States	us	Drama	movie	en	English	7.1	92	The Southerner	2593	1945
0038522	France	fr	Documentary	movie	oc	Occitan	7.4	90	Farrebique	187	1946
0038969	United States	us	Animation,Comedy,Family,Fantasy,Musical	movie	en	English	7.1	94	Song of the South	10339	1946
0039383	United States	us	Short,Drama,Horror	movie	en	English	7.0	20	Fireworks	2094	1949
0040019	France	fr	Short,Comedy	movie	fr	French	7.3	16	The School for Postmen	1881	1947
0040513	United States	us	Comedy,Musical,Western	movie	en	English	5.2	100	The Kissing Bandit	445	1948
