imdb key	countries	country codes	genres	kind	language codes	languages	rating	runtimes	title	votes	year
0083552	Brazil	br	Drama	movie	pt	Portuguese	5.9	97	Amor Estranho Amor	843	1982
0362227	United States	us	Comedy,Drama,Romance	movie	en,bg,es,ru,cmn,de,fr	English,Bulgarian,Spanish,Russian,Mandarin,German,French	7.3	128	The Terminal	373436	2004
0381753	Brazil	br	Crime,Music,News,Reality-TV,Sport	tv series	pt	Portuguese	5.6	180	Fantastic	279	1973
0451279	United States,China,Hong Kong	us,cn,hk	Action,Adventure,Fantasy,Sci-Fi,War	movie	en,de,nl,fr,es,zh,grc,nai	English,German,Dutch,French,Spanish,Chinese,Greek, Ancient (to 1453),North American Indian	7.4	141	Wonder Woman	505155	2017
0458339	United States	us	Action,Adventure,Sci-Fi	movie	en,no,fr	English,Norwegian,French	6.9	124	Captain America: The First Avenger	686995	2011
0473075	United States	us	Action,Fantasy	movie	en	English	6.6	116	Prince of Persia: The Sands of Time	259138	2010
1179933	United States	us	Drama,Horror,Mystery,Sci-Fi,Thriller	movie	en	English	7.2	103	10 Cloverfield Lane	267717	2016
1186830	Spain,Malta,Bulgaria	es,mt,bg	Adventure,Biography,Drama,History,Romance	movie	en	English	7.2	127	Agora	62481	2009
1245526	United States	us	Action,Comedy,Crime,Thriller	movie	en,ru	English,Russian	7.0	111	RED	275117	2010
1291584	United States	us	Drama,Sport	movie	en,es	English,Spanish	8.2	140	Warrior	410257	2011
1340138	United States	us	Action,Adventure,Sci-Fi	movie	en	English	6.4	126	Terminator Genisys	240536	2015
1430612	France,Canada,United States	fr,ca,us	Action,Crime,Thriller	movie	en,zh	English,Chinese	5.7	90	Brick Mansions	38015	2014
1462758	Spain,United Kingdom,United States,France	es,gb,us,fr	Drama,Mystery,Thriller	movie	ar,en	Arabic,English	7.0	95	Buried	141674	2010
1784499	Turkey	tr	Action,Adventure,Drama,War	movie	he,tr,ar	Hebrew,Turkish,Arabic	6.2	105	Valley of the Wolves: Palestine	8070	2011
1790885	United States,United Arab Emirates	us,ae	Drama,Thriller	movie	en,ar	English,Arabic	7.4	157	Zero Dark Thirty	255372	2012
1921064	Canada,Germany,United States	ca,de,us	Action,Adventure,Drama,History,Romance	movie	en	English	5.5	105	Pompeii	101886	2014
1996307633											
1996308206											
2072230	Japan	jp	Action,Adventure,Drama,Fantasy,Horror,Sci-Fi	movie	ja	Japanese	5.1	98	Attack on Titan: Part 1	11238	2015
2119532	Australia,United States	au,us	Biography,Drama,History,War	movie	en,ja	English,Japanese	8.1	139	Hacksaw Ridge	381981	2016
2126355	United States	us	Action,Adventure,Drama,Thriller	movie	en	English	6.0	114	San Andreas	197272	2015
2140037906											
2180411	United States	us	Adventure,Comedy,Drama,Fantasy,Musical	movie	en	English	5.9	125	Into the Woods	125531	2014
2820852	United States,China,Japan,Canada,United Arab Emirates	us,cn,jp,ca,ae	Action,Adventure,Thriller	movie	en,th,ar,es	English,Thai,Arabic,Spanish	7.2	137	Furious 7	341173	2015
2908446	United States	us	Action,Adventure,Sci-Fi,Thriller	movie	en	English	6.2	119	Insurgent	203623	2015
2975590	United States	us	Action,Adventure,Sci-Fi	movie	en	English	6.5	151	Batman v Superman: Dawn of Justice	588664	2016
3042408	Germany	de	Crime,Drama,Mystery,Thriller	movie	de,en	German,English	7.6	102	Who Am I	41837	2014
3397884	United States,Mexico	us,mx	Action,Crime,Drama,Mystery,Thriller	movie	en,es	English,Spanish	7.6	121	Sicario	337807	2015
3584092			Documentary	episode			7.6		Lancia Delta HF Integrale 8v Part 2	17	2005
3774114	France,Germany,United States,United Kingdom	fr,de,us,gb	Biography,Drama,Thriller	movie	en,ase,ru	English,American Sign Language,Russian	7.3	134	Snowden	122976	2016
4283016	United States	us	Action,Adventure,Drama,Fantasy,Romance	episode	en	English	9.1	59	Book of the Stranger	31717	2016
5764096	India	in	Comedy,Drama	movie	hi	Hindi	7.8	132	Hindi Medium	18241	2017
