imdb key	countries	country codes	genres	kind	language codes	languages	rating	runtimes	title	votes	year
0395461	Tunisia,Hungary,France,Germany,Iran,Switzerland,United Kingdom	tn,hu,fr,de,ir,ch,gb	Drama	movie	fa,ar	Persian,Arabic	7.6	96	Bab'Aziz: The Prince That Contemplated His Soul	2830	2005
0770828	United States,United Kingdom	us,gb	Action,Adventure,Sci-Fi	movie	en	English	7.1	143	Man of Steel	657880	2013
0816692	United States,United Kingdom,Canada	us,gb,ca	Adventure,Drama,Sci-Fi	movie	en	English	8.6	169	Interstellar	1343334	2014
0817545	United States	us	Action,Crime,Drama,Mystery,Thriller	movie	en	English	5.2	96	The Power of Few	3355	2013
1032751	New Zealand,South Korea	nz,kr	Action,Fantasy,Western	movie	en	English	6.3	100	The Warrior's Way	24515	2010
1274586	Bahamas,United States	bs,us	Action,Drama,Thriller	movie	en,ro,ar	English,Romanian,Arabic	4.4	94	Dying of the Light	9054	2014
1308729	United States	us	Action,Crime,Thriller	movie	en	English	5.7	92	Bullet to the Head	45411	2012
1483013	United States	us	Action,Adventure,Sci-Fi	movie	en	English	7.0	124	Oblivion	461472	2013
1536437	United States	us	Crime,Drama,Romance,Thriller	movie	en	English	5.9	98	Rushlights	2303	2013
1583421	United States	us	Action,Adventure,Sci-Fi,Thriller	movie	en	English	5.8	110	G.I. Joe: Retaliation	167327	2013
1605803	United States	us	Biography,Drama,Music	movie	en	English	5.8	102	The Last Ride	749	2011
1648208	United States	us	Crime,Drama,Mystery,Thriller	movie	en	English	4.1	100	Riddle	1889	2013
1924429	United Kingdom,United States,France	gb,us,fr	Crime,Drama,Mystery,Thriller	movie	en,fr	English,French	6.9	101	Trance	106182	2013
2002868	India	in	Action,Romance,Thriller	movie	ta	Tamil	6.7	154	Anegan	2644	2015
2070862	United States	us	Drama,Thriller	movie	en	English	5.0	111	Temptation: Confessions of a Marriage Counselor	11082	2013
2081437	United Kingdom	gb	Comedy,Crime,Thriller	movie	en	English	5.9	82	The Liability	7232	2012
2101341	United States	us	Action,Crime,Drama,Thriller	movie	en,fr,sq,es,hu	English,French,Albanian,Spanish,Hungarian	6.5	118	Dead Man Down	61742	2013
2101441	United States,France	us,fr	Crime,Drama	movie	en	English	5.3	94	Spring Breakers	128805	2012
2103281	United States,United Kingdom,Canada	us,gb,ca	Action,Adventure,Drama,Sci-Fi	movie	en,ase	English,American Sign Language	7.6	130	Dawn of the Planet of the Apes	395402	2014
2140038892											
2302755	United States	us	Action,Thriller	movie	en,ko	English,Korean	6.5	119	Olympus Has Fallen	241640	2013
2368553	Canada,United States	ca,us	Action,Crime,Thriller	movie	en	English	6.0	99	Assault on Wall Street	19445	2013
4046784	United States	us	Action,Sci-Fi,Thriller	movie	en	English	6.3	131	Maze Runner: The Scorch Trials	205859	2015
5255710	India	in	Drama,Musical,Romance	movie	hi	Hindi	7.3	154	Sanam Teri Kasam	8478	2016
6261062	United Kingdom	gb	Comedy	episode	en	English	7.2	29	Salesmen Are Like Vampires	268	2017
6261064	United Kingdom	gb	Comedy	episode	en	English	7.7	28	Sexy Rollercoasters	206	2017
6261068	United Kingdom	gb	Comedy	episode	en	English	7.8	28	Close Encounters	198	2017
6261070	United Kingdom	gb	Comedy	episode	en	English	7.8	28	The Widow Maker	186	2017
6261074	United Kingdom	gb	Comedy	episode	en	English	7.6	29	Smell the Weakness	172	2017
6261076	United Kingdom	gb	Comedy	episode	en	English	7.7	29	The Secret of Sales	185	2017
