imdb key	countries	country codes	genres	kind	language codes	languages	rating	runtimes	title	votes	year
0074972	Côte d'Ivoire,France,West Germany,Switzerland	ci,fr,xwg,ch	Comedy,Drama,War	movie	fr,en	French,English	6.9	90	Black and White in Color	1308	1976
0335345	United States	us	Drama	movie	arc,la,he	Aramaic,Latin,Hebrew	7.1	127	The Passion of the Christ	203473	2004
1014762	France	fr	Documentary,Drama,Family	movie	fr,en,ru,es,de	French,English,Russian,Spanish,German	8.6	120	Home	20704	2009
1170358	United States,New Zealand	us,nz	Adventure,Fantasy	movie	en	English	7.8	161	The Hobbit: The Desolation of Smaug	573210	2013
1187043	India	in	Comedy,Drama	movie	hi,en	Hindi,English	8.4	170	3 Idiots	309927	2009
1192613	Japan	jp	Action,Horror	movie	ja	Japanese	4.8	80	Oneechanbara: The Movie	1143	2008
2304572			Comedy,Mystery	episode			8.1		Bear Down	10	2012
2304590			Comedy,Mystery	episode			8.2		Bear in Mind	8	2012
2389114			Comedy,Mystery	episode			8.7		Goldicop and the Three Bears	10	2012
2390750			Comedy,Mystery	episode			8.2		Bear Essentials	5	2012
2390768			Comedy,Mystery	episode			8.7		Bear on a Couch	7	2012
2390786			Comedy,Mystery	episode			8.7		Bears of Interest	7	2012
2390788			Comedy,Mystery	episode			8.7		A Bear and Honey	7	2012
2390790			Comedy,Mystery	episode			8.7		Bears in Heat	7	2012
2390794			Comedy,Mystery	episode			8.6		Bear Fan	7	2012
2390796			Comedy,Mystery	episode			8.6		Bear Cam	7	2012
2390798			Comedy,Mystery	episode			8.6		Bear on a Stage	7	2012
2390810			Comedy,Mystery	episode			8.6		Bear Reunion	7	2012
2543692			Comedy,Mystery	episode			8.7		Bear on a Date	7	2012
2583104			Comedy,Mystery	episode			8.7		Bear Facts	7	2012
2583118			Comedy,Mystery	episode			8.8		Bears Undercover	9	2012
2583122			Comedy,Mystery	episode			9.0		Mr. Bear Chest 2012	6	2012
2583132			Comedy,Mystery	episode			9.1		A Bear in Need	7	2012
2583134			Comedy,Mystery	episode			9.0		Bearnapped	6	2012
2583136			Comedy,Mystery	episode			9.0		Bears to the Rescue	6	2012
2583138			Comedy,Mystery	episode			9.0		Stand Up Bear	6	2012
2583140			Comedy,Mystery	episode			9.0		Bear Fight	6	2012
2583142			Comedy,Mystery	episode			9.0		Bears in the Desert	6	2012
2583146			Comedy,Mystery	episode			9.0		Bear Devil	6	2012
2583156			Comedy,Mystery	episode			9.0		Bear Trap: Part One	6	2012
2583158			Comedy,Mystery	episode			9.0		Bear Trap: Part Two	6	2012
2709768	United States,France,Japan	us,fr,jp	Animation,Adventure,Comedy,Family	movie	en	English	6.5	87	The Secret Life of Pets	169640	2016
3029558	Japan	jp	Action,Adventure,Drama,Fantasy	movie	ja	Japanese	7.7	138	Rurouni Kenshin Part II: Kyoto Inferno	10850	2014
3072886			Comedy,Mystery	episode			9.0	7	Party Bears	6	2013
3077058			Comedy,Mystery	episode				6	Truth or Bear		2013
3077066			Comedy,Mystery	episode				6	Clear the Bear		2013
3077078			Comedy,Mystery	episode			8.6	7	Bears in Chains	5	2013
3081518			Comedy,Mystery	episode			8.4	7	Leather Bears	5	2013
3081528			Comedy,Mystery	episode				8	Bear to Dream		2013
3081564			Comedy,Mystery	episode				6	Go Go Bear		2013
3081576			Comedy,Mystery	episode				5	Blackmail Bears		2013
3091952			Comedy,Mystery	episode			9.0	7	Closet Bear	6	2013
3091956			Comedy,Mystery	episode				7	Bear Movie Night		2013
3095010			Comedy,Mystery	episode				6	Break in Bears		2013
3095058			Comedy,Mystery	episode				6	Jail Bears		2013
3151616			Comedy,Mystery	episode				7	Bailed Out Bears		2013
3151620			Comedy,Mystery	episode				6	Bear on a Stakeout		2013
3151628			Comedy,Mystery	episode				5	Bear Interrogation		2013
3151630			Comedy,Mystery	episode				7	Rugby Bears		2013
3151640			Comedy,Mystery	episode				6	Wine and Bear		2013
3151682			Comedy,Mystery	episode				8	Bear Audition		2013
3151684			Comedy,Mystery	episode				8	Crazy Bear		2013
3151692			Comedy,Mystery	episode				7	Hunting Bears		2013
3151696			Comedy,Mystery	episode				9	Bear in a Panic		2013
3151704			Comedy,Mystery	episode				6	Bears in the Woods: Part 1		2013
3151782			Comedy,Mystery	episode			9.2	18	Bears in the Woods: Part 2	6	2013
5086436	Japan	jp	Animation,Drama,Fantasy	episode	ja	Japanese	8.2	24	Memories to Come	39	2015
5700672	South Korea	kr	Action,Horror,Thriller	movie	ko,haw	Korean,Hawaiian	7.5	118	Train to Busan	116869	2016
6375624			Drama,Fantasy,Romance	episode			8.2		Episode #1.17	28	2017
