imdb key	countries	country codes	genres	kind	language codes	languages	rating	runtimes	title	votes	year
0245429	Japan	jp	Animation,Adventure,Family,Fantasy,Mystery	movie	ja,en	Japanese,English	8.6	125	Spirited Away	576653	2001
0443701	United States,Canada	us,ca	Drama,Horror,Mystery,Sci-Fi,Thriller	movie	en,ru,cs	English,Russian,Czech	5.9	104	The X Files: I Want to Believe	86552	2008
0455590	United Kingdom,Germany	gb,de	Biography,Drama,History,Thriller	movie	en,fr,de,sw	English,French,German,Swahili	7.7	123	The Last King of Scotland	167850	2006
5534712			Drama,Romance	episode			7.3	19	Du ser ut som en slut	446	2015
