imdb key	countries	country codes	genres	kind	language codes	languages	rating	runtimes	title	votes	year
0000417	France	fr	Short,Action,Adventure,Comedy,Fantasy,Sci-Fi	movie	fr	French	8.2	13	A Trip to the Moon	39887	1902
0006333	United States	us	Action,Adventure,Sci-Fi	movie	en	English	6.2	105	20,000 Leagues Under the Sea	1437	1916
0008100	Denmark	dk	Adventure,Fantasy,Sci-Fi	movie			6.6	97	A Trip to Mars	551	1918
0012651	Germany	de	Crime,Drama,Horror,Mystery	movie	de	German	6.3	75	The Haunted Castle	1270	1921
0015214	France	fr	Short,Sci-Fi	movie	fr	French	7.2	35	At 3:25	1441	1924
0016123	United States	us	Comedy,Horror,Mystery,Romance,Sci-Fi	movie	en	English	6.2	86	The Monster	874	1925
0017621	Germany	de	Drama,Fantasy,Horror,Sci-Fi	movie	de	German	6.1	108	A Daughter of Destiny	264	1928
0020198	United States	us	Adventure,Romance,Sci-Fi	movie	en	English	6.1	95	The Mysterious Island	540	1929
0020629	United States	us	Drama,War	movie	en,fr,de,la	English,French,German,Latin	8.0	136	All Quiet on the Western Front	54174	1930
0024240	United States	us	Comedy,Drama	movie	en,es	English,Spanish	7.4	96	Lady for a Day	3508	1933
0024727	United States	us	Drama,Horror,Mystery,Romance,Sci-Fi	movie	en	English	5.7	65	The Vampire Bat	1995	1933
0024916	United States	us	Comedy,Drama	movie	en	English	6.7	104	Broadway Bill	830	1934
0026040	Soviet Union	suhh	Drama	movie	ru	Russian	6.1	82	Frontier	334	1935
0027977	United States	us	Comedy,Drama,Family,Romance	movie	en	English	8.5	87	Modern Times	197049	1936
0029811	United Kingdom	gb	Crime,Mystery,Romance,Thriller	movie	en,la	English,Latin	6.9	80	Young and Innocent	7903	1937
0031505	United Kingdom	gb	Adventure,Crime	movie	en	English	6.3	108	Jamaica Inn	8212	1939
0032484	United States	us	Action,Romance,Thriller,War	movie	en,nl,de,lv	English,Dutch,German,Latvian	7.5	120	Foreign Correspondent	16842	1940
0032976	United States	us	Drama,Mystery,Romance,Thriller	movie	en,fr	English,French	8.1	130	Rebecca	113097	1940
0033152	United Kingdom,United States	gb,us	Adventure,Family,Fantasy,Romance	movie	en	English	7.5	106	The Thief of Bagdad	10989	1940
0039826	United States	us	Adventure,Fantasy,Romance	movie	en	English	6.2	116	Sinbad, the Sailor	1694	1947
