imdb key	countries	country codes	genres	kind	language codes	languages	rating	runtimes	title	votes	year
0032553	United States	us	Comedy,Drama,War	movie	en,eo	English,Esperanto	8.5	125	The Great Dictator	186194	1940
0054042	Mexico	mx	Drama,Fantasy,Mystery	movie	es	Spanish	8.3	91	Macario	2185	1960
0059311	United States	us	Horror	movie	eo	Esperanto	6.2	78	Incubus	1718	1966
0059550	Soviet Union	suhh	Comedy,Crime,Romance	movie	ru	Russian	8.7	95	Operation 'Y' & Other Shurik's Adventures	10778	1965
0063737	France,Belgium	fr,be	Drama,Fantasy,Mystery	movie	nl,fr	Dutch,French	7.1	86	Un soir, un train	504	1968
0065670	Soviet Union	suhh	Adventure,Comedy,Crime	movie	ru,lt,de,ka,fr	Russian,Lithuanian,German,Georgian,French	8.3	159	Twelve Chairs	5184	1971
0068655	France	fr	Comedy,Mystery	movie	fr,en	French,English	7.3	90	The Tall Blond Man with One Black Shoe	6681	1972
0070215	Italy,France,West Germany	it,fr,xwg	Comedy,Western	movie	it	Italian	7.5	116	My Name Is Nobody	21468	1973
0070233	Soviet Union	suhh	Adventure,Comedy,Sci-Fi	movie	ru,de	Russian,German	8.4	93	Ivan Vasilievich: Back to the Future	13730	1973
0070413	Soviet Union	suhh	Family,Comedy,Sci-Fi,Adventure	movie	ru	Russian	6.8	85	Moscow: Cassiopea	659	1974
0070544	France,Czechoslovakia	fr,cshh	Animation,Sci-Fi	movie	fr,cs	French,Czech	7.8	72	Fantastic Planet	21358	1973
0071486	Italy	it	Comedy	movie	it,ja,fr,de	Italian,Japanese,French,German	8.0	108	White Collar Blues	5075	1975
0071957	Soviet Union	suhh	Family,Comedy,Sci-Fi,Adventure	movie	ru	Russian	6.9	84	Children in the Universe	568	1975
0073099	Soviet Union	suhh	Animation,Short	movie	ru	Russian	8.2	11	Hedgehog in the Fog	5876	1975
0079820	France	fr	Animation,Family,Fantasy,Romance	movie	fr	French	7.9	83	The King and the Mockingbird	4003	1952
0080037	Soviet Union	suhh	Comedy,Drama,Fantasy	tv movie	ru	Russian	8.5	142	The Very Same Munchhausen	2894	1979
0080439	Italy	it	Comedy,Romance	movie	it	Italian	7.7	107	The Taming of the Scoundrel	6271	1980
0082484	Canada,France	ca,fr	Adventure,Drama,History	movie	zxx,fr	None,French	7.3	100	Quest for Fire	19431	1981
0084315	France,Switzerland,West Germany,United Kingdom,Hungary	fr,ch,xwg,gb,hu	Animation,Adventure,Sci-Fi	movie	fr	French	7.5	78	Time Masters	4730	1982
0085807	Poland	pl	Comedy,Drama	movie	pl	Polish	7.6	92	Konopielka	576	1982
0087376	France	fr	Animation,Adventure,Fantasy,Sci-Fi	movie	fr	French	6.7	67	Gwen, the Book of Sand	276	1985
0091341	Soviet Union	suhh	Comedy,Drama,Sci-Fi	movie	ka,ru	Georgian,Russian	8.1	135	Kin-dza-dza!	10559	1986
0091759	Soviet Union	suhh	Drama,Sci-Fi	movie	ru	Russian	7.6	87	Dead Man's Letters	2337	1986
0096283	Japan	jp	Animation,Family,Fantasy	movie	ja	Japanese	8.2	86	My Neighbor Totoro	246520	1988
0097814	Japan	jp	Animation,Adventure,Drama,Family,Fantasy	movie	ja,en	Japanese,English	7.9	103	Kiki's Delivery Service	102423	1989
0103110	France	fr	Biography,Drama,History,Music,Romance	movie	fr	French	7.5	115	Tous les matins du monde	6048	1991
0107048	United States	us	Comedy,Fantasy,Romance	movie	en,fr,it	English,French,Italian	8.0	101	Groundhog Day	549678	1993
0116692	Germany	de	Drama,Music	movie	de,gsg,en,es	German,German Sign Language,English,Spanish	7.4	109	Beyond Silence	3935	1996
0119116	France	fr	Action,Adventure,Sci-Fi	movie	en,sv,de,ar,egy	English,Swedish,German,Arabic,Egyptian (Ancient)	7.7	126	The Fifth Element	410554	1997
0119177	United States	us	Drama,Sci-Fi,Thriller	movie	en,eo	English,Esperanto	7.8	106	Gattaca	265457	1997
0119448	Netherlands,Belgium	nl,be	Crime,Drama,Mystery	movie	nl,en,de,fr	Dutch,English,German,French	7.7	122	Character	10032	1997
0119698	Japan	jp	Animation,Adventure,Fantasy	movie	ja	Japanese	8.4	134	Princess Mononoke	303295	1997
0120889	United States,New Zealand	us,nz	Drama,Fantasy,Romance	movie	en	English	7.0	113	What Dreams May Come	97131	1998
0120907	United Kingdom,France,Canada	gb,fr,ca	Horror,Sci-Fi,Thriller	movie	en	English	6.8	97	eXistenZ	88939	1999
0135007	Italy	it	Comedy	movie	it	Italian	7.6	100	Tre uomini e una gamba	7109	1997
0167331	Czech Republic	cz	Comedy,Drama	movie	cs,ru	Czech,Russian	8.2	115	Cosy Dens	4252	1999
0174207	Soviet Union	suhh	Family,Fantasy	movie	ru	Russian	7.3	87	The Tale of Tsar Saltan	304	1967
0189160	Soviet Union	suhh	Animation,Short,Adventure,Comedy,Family	movie	ru	Russian	8.2	17	Three from Prostokvashino	2540	1978
0238891	Italy	it	Biography,Crime,Drama	movie	it	Italian	7.6	114	One Hundred Steps	4711	2000
0239102	Czech Republic	cz	Drama,Fantasy,Horror,Mystery,Romance	movie	cs	Czech	7.2	81	Wild Flowers	1183	2000
0243192	France	fr	Drama,History	tv movie	fr	French	7.7	90	La controverse de Valladolid	325	1992
0245429	Japan	jp	Animation,Adventure,Family,Fantasy,Mystery	movie	ja,en	Japanese,English	8.6	125	Spirited Away	575550	2001
0253011	United States	us	Short,Comedy,Drama,Romance	movie	en	English	7.4	27	Crush	550	2000
0274558	United States,United Kingdom,France,Canada,Germany	us,gb,fr,ca,de	Drama,Romance	movie	en	English	7.5	110	The Hours	118417	2002
0285441	Canada	ca	Drama	movie	iu	Inuktitut	7.5	172	Atanarjuat: The Fast Runner	6060	2001
0286244	France,Belgium,Canada,United Kingdom,Latvia,United States	fr,be,ca,gb,lv,us	Animation,Comedy,Drama	movie	fr,pt,en	French,Portuguese,English	7.8	78	The Triplets of Belleville	48450	2003
