imdb key	countries	country codes	genres	kind	language codes	languages	rating	runtimes	title	votes	year
0032553	United States	us	Comedy,Drama,War	movie	en,eo	English,Esperanto	8.5	125	The Great Dictator	185945	1940
0114671	United Kingdom,Spain,Germany,Italy,France	gb,es,de,it,fr	Drama,War	movie	en,es,ca	English,Spanish,Catalan	7.6	109	Land and Freedom	9557	1995
0480025	United Kingdom	gb	Crime,Drama	movie	en	English	7.7	101	This Is England	111142	2006
0986233	Ireland,United Kingdom	ie,gb	Biography,Drama	movie	en,ga	English,Irish	7.6	96	Hunger	62173	2008
1245384			Action,Drama,History,War	episode	en	English	8.7	70	Currahee	5995	2001
1247462			Action,Drama,History,War	episode	en,fr	English,French	9.2	64	Bastogne	5199	2001
1247463			Action,Drama,History,War	episode	en	English	9.0	62	Carentan	4984	2001
1247464			Action,Drama,History,War	episode	en	English	8.9	53	Crossroads	4635	2001
1247465			Action,Drama,History,War	episode	en	English	9.2	49	Day of Days	5506	2001
1247466			Action,Drama,History,War	episode	en	English	9.2	59	Points	4407	2001
1247467			Action,Drama,History,War	episode	en	English	8.9	57	Replacements	4703	2001
1247468			Action,Drama,History,War	episode	en	English	9.4	69	The Breaking Point	4954	2001
1247469			Action,Drama,History,War	episode	en	English	8.8	56	The Last Patrol	4272	2001
1247470			Action,Drama,History,War	episode	en,de,sr,fr	English,German,Serbian,French	9.5	55	Why We Fight	5340	2001
1551231	United Kingdom	gb	Comedy,Drama,Fantasy,Romance,Sci-Fi	episode	en	English	8.3	46	Episode #1.1	1197	2009
1553556	United Kingdom	gb	Comedy,Drama,Fantasy,Romance,Sci-Fi	episode	en	English	8.3	47	Episode #1.2	1011	2009
1553997			Comedy,Drama,Fantasy,Romance,Sci-Fi	episode			7.9	47	Episode #1.3	865	2009
1553998			Comedy,Drama,Fantasy,Romance,Sci-Fi	episode			8.7	48	Episode #1.4	932	2009
1553999			Comedy,Drama,Fantasy,Romance,Sci-Fi	episode			8.5	52	Episode #1.5	818	2009
1554000			Comedy,Drama,Fantasy,Romance,Sci-Fi	episode			8.9	46	Episode #1.6	976	2009
1685471	United Kingdom	gb	Crime,Drama	tv mini series	en	English	8.3	47	This Is England '86	10365	2010
1719300			Comedy,Drama,Fantasy,Romance,Sci-Fi	episode			8.8	50	Episode #2.1	854	2010
1719301			Comedy,Drama,Fantasy,Romance,Sci-Fi	episode			8.6	51	Episode #2.2	796	2010
1719302			Comedy,Drama,Fantasy,Romance,Sci-Fi	episode			8.7	50	Episode #2.3	806	2010
1719303			Comedy,Drama,Fantasy,Romance,Sci-Fi	episode			8.7	49	Episode #2.4	757	2010
1719304			Comedy,Drama,Fantasy,Romance,Sci-Fi	episode			8.4	51	Episode #2.5	706	2010
1719305			Comedy,Drama,Fantasy,Romance,Sci-Fi	episode			8.9	51	Episode #2.6	785	2010
1797694			Comedy,Drama,Fantasy,Romance,Sci-Fi	episode			8.3	43	Christmas Special	754	2010
